rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,Ed Sheeran,Perfect,1,1,18,2018-01-06
2,Post Malone Featuring 21 Savage,Rockstar,2,1,15,2018-01-06
3,Camila Cabello Featuring Young Thug,Havana,3,2,20,2018-01-06
4,G-Eazy Featuring A$AP Rocky & Cardi B,No Limit,5,4,16,2018-01-06
5,Imagine Dragons,Thunder,6,4,35,2018-01-06
6,Lil Pump,Gucci Gang,4,3,16,2018-01-06
7,"Migos, Nicki Minaj & Cardi B",MotorSport,7,6,9,2018-01-06
8,Sam Smith,Too Good At Goodbyes,8,4,16,2018-01-06
9,Halsey,Bad At Love,10,8,17,2018-01-06
10,Cardi B,Bodak Yellow (Money Moves),12,1,26,2018-01-06
11,Kendrick Lamar Featuring Zacari,Love.,22,11,27,2018-01-06
12,Dua Lipa,New Rules,13,12,22,2018-01-06
13,Mariah Carey,All I Want For Christmas Is You,9,9,24,2018-01-06
14,Cardi B Featuring 21 Savage,Bartier Cardi,-,14,1,2018-01-06
15,6ix9ine,Gummo,14,12,7,2018-01-06
16,Post Malone,I Fall Apart,16,16,14,2018-01-06
17,NF,Let You Down,18,16,11,2018-01-06
18,Khalid,Young Dumb & Broke,33,18,24,2018-01-06
19,Ed Sheeran,Shape Of You,24,1,51,2018-01-06
20,Demi Lovato,Sorry Not Sorry,21,6,25,2018-01-06
21,Maroon 5 Featuring SZA,What Lovers Do,17,9,18,2018-01-06
22,Gucci Mane Featuring Migos,I Get The Bag,19,11,19,2018-01-06
23,Portugal. The Man,Feel It Still,20,4,28,2018-01-06
24,G-Eazy & Halsey,Him & I,15,15,4,2018-01-06
25,Imagine Dragons,Believer,40,4,47,2018-01-06
26,Bebe Rexha & Florida Georgia Line,Meant To Be,28,26,10,2018-01-06
27,Charlie Puth,How Long,31,26,12,2018-01-06
28,21 Savage,Bank Account,35,12,25,2018-01-06
29,Selena Gomez X Marshmello,Wolves,23,20,10,2018-01-06
30,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito,36,1,50,2018-01-06
31,A$AP Ferg Featuring Nicki Minaj,Plain Jane,26,26,14,2018-01-06
32,J Balvin & Willy William Featuring Beyonce,Mi Gente,25,3,26,2018-01-06
33,SZA,The Weekend,29,29,22,2018-01-06
34,Logic Featuring Alessia Cara & Khalid,1-800-273-8255,34,3,35,2018-01-06
35,Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes,27,24,18,2018-01-06
36,Brenda Lee,Rockin' Around The Christmas Tree,30,14,22,2018-01-06
37,Bruno Mars,That's What I Like,48,1,50,2018-01-06
38,Andy Williams,It's The Most Wonderful Time Of The Year,32,32,5,2018-01-06
39,Charlie Puth,Attention,44,5,36,2018-01-06
40,Taylor Swift Featuring Ed Sheeran & Future,End Game,42,39,6,2018-01-06
41,Miguel Featuring Travis Scott,Sky Walker,41,35,14,2018-01-06
42,Nat King Cole,The Christmas Song (Merry Christmas To You),37,37,12,2018-01-06
43,Eminem Featuring Ed Sheeran,River,11,11,2,2018-01-06
44,Marshmello Featuring Khalid,Silence,39,30,20,2018-01-06
45,Thomas Rhett,Marry Me,63,45,4,2018-01-06
46,Burl Ives,A Holly Jolly Christmas,38,38,5,2018-01-06
47,French Montana Featuring Swae Lee,Unforgettable,47,3,38,2018-01-06
48,P!nk,What About Us,62,13,21,2018-01-06
49,N*E*R*D & Rihanna,Lemon,46,46,8,2018-01-06
50,Post Malone,Candy Paint,58,50,10,2018-01-06
51,Kodak Black Featuring XXXTENTACION,Roll In Peace,51,51,19,2018-01-06
52,Ozuna x Cardi B,La Modelo,-,52,1,2018-01-06
53,Offset & Metro Boomin,Ric Flair Drip,45,44,9,2018-01-06
54,MAX Featuring gnash,Lights Down Low,57,54,12,2018-01-06
55,Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,Let Me Go,52,52,14,2018-01-06
56,Brett Young,Like I Loved You,56,54,14,2018-01-06
