rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,Mariah Carey,Don't Forget About Us,1,1,12,2006-01-07
2,Chris Brown,Run It!,2,1,20,2006-01-07
3,"Nelly Featuring Paul Wall, Ali & Gipp",Grillz,3,3,8,2006-01-07
4,D4L,Laffy Taffy,4,2,15,2006-01-07
5,Nickelback,Photograph,6,2,18,2006-01-07
6,The Pussycat Dolls,Stickwitu,5,5,12,2006-01-07
7,Beyonce Featuring Slim Thug,Check On It,8,7,8,2006-01-07
8,Kanye West Featuring Jamie Foxx,Gold Digger,7,1,24,2006-01-07
9,Juelz Santana,There It Go! (The Whistle Song),10,9,13,2006-01-07
10,The Black Eyed Peas,My Humps,11,3,21,2006-01-07
11,Kelly Clarkson,Because Of You,9,7,19,2006-01-07
12,Mary J. Blige,Be Without You,20,12,7,2006-01-07
13,Ray J,One Wish,12,12,14,2006-01-07
14,Young Jeezy Featuring Akon,Soul Survivor,14,4,19,2006-01-07
15,Fall Out Boy,"Dance, Dance",24,15,10,2006-01-07
16,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I Think They Like Me,15,15,16,2006-01-07
17,Fall Out Boy,"Sugar, We're Goin' Down",22,8,28,2006-01-07
18,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Stay Fly,13,13,16,2006-01-07
19,Eminem,When I'm Gone,16,8,7,2006-01-07
20,T-Pain,I'm Sprung,17,8,20,2006-01-07
21,The All-American Rejects,Dirty Little Secret,27,21,22,2006-01-07
22,Sean Paul,We Be Burnin',19,6,17,2006-01-07
23,Madonna,Hung Up,21,7,10,2006-01-07
24,James Blunt,You're Beautiful,23,22,9,2006-01-07
25,Ne-Yo,So Sick,26,25,5,2006-01-07
26,Jamie Foxx Featuring Ludacris,Unpredictable,47,26,6,2006-01-07
27,Trina Featuring Kelly Rowland,Here We Go,18,17,14,2006-01-07
28,Gwen Stefani,Luxurious,25,21,10,2006-01-07
29,Weezer,Beverly Hills,37,10,39,2006-01-07
30,Lifehouse,You And Me,29,5,47,2006-01-07
31,Green Day,Wake Me Up When September Ends,33,6,23,2006-01-07
32,Gorillaz,Feel Good Inc,30,14,33,2006-01-07
33,Carrie Underwood,"Jesus, Take The Wheel",31,31,8,2006-01-07
34,Trace Adkins,Honky Tonk Badonkadonk,38,34,10,2006-01-07
35,Kanye West Featuring Adam Levine,Heard 'Em Say,28,26,11,2006-01-07
36,Rihanna,If It's Lovin' That You Want,36,36,12,2006-01-07
37,The Pussycat Dolls Featuring Busta Rhymes,Don't Cha,45,2,36,2006-01-07
38,Lil Wayne,Fireman,32,32,8,2006-01-07
39,Purple Ribbon All-Stars,Kryptonite (I'm On It),35,35,7,2006-01-07
40,Natasha Bedingfield,Unwritten,51,40,5,2006-01-07
41,Chamillionaire Featuring Lil' Flip,Turn It Up,43,41,10,2006-01-07
42,Mariah Carey,Shake It Off,41,2,24,2006-01-07
43,Ludacris & Field Mob Featuring Jamie Foxx,Georgia,48,43,2,2006-01-07
44,Mariah Carey,We Belong Together,50,1,39,2006-01-07
45,Billy Currington,Must Be Doin' Somethin' Right,39,39,12,2006-01-07
46,"The Notorious B.I.G. Featuring Diddy, Nelly, Jagged Edge & Avery Storm",Nasty Girl,64,46,4,2006-01-07
47,Keyshia Cole,I Should Have Cheated,34,30,14,2006-01-07
48,Goo Goo Dolls,Better Days,57,36,14,2006-01-07
49,Dierks Bentley,Come A Little Closer,40,31,16,2006-01-07
50,Joe Nichols,Tequila Makes Her Clothes Fall Off,44,32,13,2006-01-07
51,50 Cent,Window Shopper,46,20,9,2006-01-07
52,Twista Featuring Trey Songz,Girl Tonite,42,14,18,2006-01-07
53,Cascada,Everytime We Touch,55,53,4,2006-01-07
54,Eminem Featuring Nate Dogg,Shake That,52,52,3,2006-01-07
55,Alicia Keys,Unbreakable,49,34,15,2006-01-07
56,Ashlee Simpson,L.O.V.E.,76,56,3,2006-01-07
57,Little Big Town,Boondocks,58,56,11,2006-01-07
58,Faith Hill,Like We Never Loved At All,53,45,14,2006-01-07
59,George Strait,She Let Herself Go,54,54,10,2006-01-07
60,System Of A Down,Hypnotize,63,60,9,2006-01-07
61,The Black Eyed Peas,Pump It,70,61,5,2006-01-07
62,Weezer,Perfect Situation,81,62,3,2006-01-07
63,Death Cab For Cutie,Soul Meets Body,60,60,14,2006-01-07
64,Ying Yang Twins Featuring Pitbull,Shake,71,41,19,2006-01-07
65,Brad Paisley Featuring Dolly Parton,When I Get Where I'm Going,62,62,6,2006-01-07
66,Kenny Chesney,Who You'd Be Today,56,37,14,2006-01-07
67,Busta Rhymes,Touch It,67,67,3,2006-01-07
68,Bow Wow Featuring J-Kwon & Jermaine Dupri,Fresh Azimiz,73,68,3,2006-01-07
69,Juvenile,Rodeo,72,69,5,2006-01-07
70,Avenged Sevenfold,Bat Country,78,70,9,2006-01-07
71,Chris Brown,Yo (Excuse Me Miss),89,71,2,2006-01-07
72,Daddy Yankee,Rompe,66,66,6,2006-01-07
73,T-Pain Featuring Mike Jones,I'm N Luv (Wit A Stripper),87,73,2,2006-01-07
74,Korn,Twisted Transistor,65,64,7,2006-01-07
75,Ashlee Simpson,Boyfriend,92,19,16,2006-01-07
76,Bon Jovi,Have A Nice Day,99,53,11,2006-01-07
77,Trey Songz,Gotta Go,68,67,6,2006-01-07
78,Foo Fighters,DOA,82,68,9,2006-01-07
79,Chris Cagle,Miss Me Baby,69,67,10,2006-01-07
80,Shakira,Don't Bother,61,42,8,2006-01-07
81,Keith Urban,Better Life,75,44,18,2006-01-07
82,Shinedown,Save Me,80,72,8,2006-01-07
83,Seether,Remedy,94,83,4,2006-01-07
84,Garth Brooks,Good Ride Cowboy,59,59,12,2006-01-07
85,Sugarland,Just Might (Make Me Believe),79,75,6,2006-01-07
86,Miranda Lambert,Kerosene,90,86,3,2006-01-07
87,Kirk Franklin,Looking For You,83,74,5,2006-01-07
88,Frankie J,More Than Words,84,25,17,2006-01-07
89,Cast Of Rent,Seasons Of Love,74,33,10,2006-01-07
90,Keith Urban,Tonight I Wanna Cry,86,86,2,2006-01-07
91,Brooks & Dunn,Believe,95,91,3,2006-01-07
92,Relient K,Who I Am Hates Who I've Been,-,92,1,2006-01-07
93,YoungBloodZ,Presidential,91,81,11,2006-01-07
94,Twista Featuring Pitbull,Hit The Floor,96,94,4,2006-01-07
95,Tim McGraw,My Old Friend,88,87,6,2006-01-07
96,Wisin & Yandel,Rakata,85,85,5,2006-01-07
97,Gorillaz Featuring Shaun Ryder,Dare,-,97,1,2006-01-07
98,Rascal Flatts,Skin (Sarabeth),-,42,15,2006-01-07
99,Young Jeezy,My Hood,-,99,1,2006-01-07
100,Josh Turner,Your Man,93,93,3,2006-01-07
1,D4L,Laffy Taffy,4,1,16,2006-01-14
2,Chris Brown,Run It!,2,1,21,2006-01-14
3,Nickelback,Photograph,5,2,19,2006-01-14
4,Kanye West Featuring Jamie Foxx,Gold Digger,8,1,25,2006-01-14
5,"Nelly Featuring Paul Wall, Ali & Gipp",Grillz,3,3,9,2006-01-14
6,The Black Eyed Peas,My Humps,10,3,22,2006-01-14
7,Mariah Carey,Don't Forget About Us,1,1,13,2006-01-14
8,The Pussycat Dolls,Stickwitu,6,5,13,2006-01-14
9,Fall Out Boy,"Dance, Dance",15,9,11,2006-01-14
10,Beyonce Featuring Slim Thug,Check On It,7,7,9,2006-01-14
11,The All-American Rejects,Dirty Little Secret,21,11,23,2006-01-14
12,Juelz Santana,There It Go! (The Whistle Song),9,9,14,2006-01-14
13,Fall Out Boy,"Sugar, We're Goin' Down",17,8,29,2006-01-14
14,Young Jeezy Featuring Akon,Soul Survivor,14,4,20,2006-01-14
15,Weezer,Beverly Hills,29,10,40,2006-01-14
16,Kelly Clarkson,Because Of You,11,7,20,2006-01-14
17,Eminem,When I'm Gone,19,8,8,2006-01-14
18,Three 6 Mafia Featuring Young Buck & Eightball & MJG,Stay Fly,18,13,17,2006-01-14
19,Green Day,Wake Me Up When September Ends,31,6,24,2006-01-14
20,Sean Paul,We Be Burnin',22,6,18,2006-01-14
21,Ray J,One Wish,13,12,15,2006-01-14
22,T-Pain,I'm Sprung,20,8,21,2006-01-14
23,Madonna,Hung Up,23,7,11,2006-01-14
24,"Dem Franchize Boyz Featuring Jermaine Dupri, Da Brat & Bow Wow",I Think They Like Me,16,15,17,2006-01-14
25,James Blunt,You're Beautiful,24,22,10,2006-01-14
26,Lifehouse,You And Me,30,5,48,2006-01-14
27,Mary J. Blige,Be Without You,12,12,8,2006-01-14
28,Gorillaz,Feel Good Inc,32,14,34,2006-01-14
29,The Pussycat Dolls Featuring Busta Rhymes,Don't Cha,37,2,37,2006-01-14
30,Trace Adkins,Honky Tonk Badonkadonk,34,30,11,2006-01-14
31,Carrie Underwood,"Jesus, Take The Wheel",33,31,9,2006-01-14
32,Natasha Bedingfield,Unwritten,40,32,6,2006-01-14
33,Jamie Foxx Featuring Ludacris,Unpredictable,26,26,7,2006-01-14
34,Ashlee Simpson,Boyfriend,75,19,17,2006-01-14
35,Gwen Stefani,Luxurious,28,21,11,2006-01-14
36,Ashlee Simpson,L.O.V.E.,56,36,4,2006-01-14
37,Mariah Carey,We Belong Together,44,1,40,2006-01-14
38,Lil Wayne,Fireman,38,32,9,2006-01-14
39,Ludacris & Field Mob Featuring Jamie Foxx,Georgia,43,39,3,2006-01-14
40,Kanye West Featuring Adam Levine,Heard 'Em Say,35,26,12,2006-01-14
41,Trina Featuring Kelly Rowland,Here We Go,27,17,15,2006-01-14
42,Mariah Carey,Shake It Off,42,2,25,2006-01-14
43,Rihanna,If It's Lovin' That You Want,36,36,13,2006-01-14
44,Chamillionaire Featuring Lil' Flip,Turn It Up,41,41,11,2006-01-14
45,Ne-Yo,So Sick,25,25,6,2006-01-14
46,Billy Currington,Must Be Doin' Somethin' Right,45,39,13,2006-01-14
47,50 Cent,Window Shopper,51,20,10,2006-01-14
48,"The Notorious B.I.G. Featuring Diddy, Nelly, Jagged Edge & Avery Storm",Nasty Girl,46,46,5,2006-01-14
