rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,Ariana Grande,"Thank U, Next",1,1,8,2019-01-05
2,Halsey,Without Me,2,2,12,2019-01-05
3,Mariah Carey,All I Want For Christmas Is You,7,3,30,2019-01-05
4,Travis Scott,Sicko Mode,3,1,21,2019-01-05
5,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),4,4,10,2019-01-05
6,Panic! At The Disco,High Hopes,6,5,21,2019-01-05
7,Marshmello & Bastille,Happier,5,3,19,2019-01-05
8,Bobby Helms,Jingle Bell Rock,13,8,25,2019-01-05
9,Brenda Lee,Rockin' Around The Christmas Tree,11,9,27,2019-01-05
10,Burl Ives,A Holly Jolly Christmas,12,10,10,2019-01-05
11,Nat King Cole,The Christmas Song (Merry Christmas To You),17,11,17,2019-01-05
12,Lil Baby & Gunna,Drip Too Hard,9,4,15,2019-01-05
13,Andy Williams,It's The Most Wonderful Time Of The Year,10,10,10,2019-01-05
14,Maroon 5 Featuring Cardi B,Girls Like You,15,1,31,2019-01-05
15,Kodak Black Featuring Travis Scott & Offset,ZEZE,8,2,11,2019-01-05
16,Gene Autry,Rudolph The Red-Nosed Reindeer,28,16,4,2019-01-05
17,Sheck Wes,Mo Bamba,16,6,18,2019-01-05
18,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky,14,11,15,2019-01-05
19,Cardi B,Money,30,13,10,2019-01-05
20,Dean Martin,"Let It Snow, Let It Snow, Let It Snow",32,20,4,2019-01-05
21,"benny blanco, Halsey & Khalid",Eastside,18,16,24,2019-01-05
22,Ariana Grande,Breathin,19,12,19,2019-01-05
23,Post Malone,Better Now,21,3,35,2019-01-05
24,5 Seconds Of Summer,Youngblood,20,7,30,2019-01-05
25,Wham!,Last Christmas,27,25,9,2019-01-05
26,The Ronettes,Sleigh Ride,33,26,3,2019-01-05
27,Juice WRLD,Lucid Dreams,23,2,33,2019-01-05
28,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane),35,28,3,2019-01-05
29,Jose Feliciano,Feliz Navidad,34,29,5,2019-01-05
30,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Taki Taki,25,11,13,2019-01-05
31,Bad Bunny Featuring Drake,MIA,26,5,11,2019-01-05
32,Perry Como,(There's No Place Like) Home For The Holidays,41,32,2,2019-01-05
33,Flipp Dinero,Leave Me Alone,31,27,15,2019-01-05
34,Bing Crosby,White Christmas,48,12,15,2019-01-05
35,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,It's Beginning To Look A Lot Like Christmas,42,35,2,2019-01-05
36,Meek Mill Featuring Drake,Going Bad,22,6,4,2019-01-05
37,21 Savage,A Lot,-,37,1,2019-01-05
38,Ella Mai,Trip,29,11,21,2019-01-05
39,"Cardi B, Bad Bunny & J Balvin",I Like It,40,1,38,2019-01-05
40,Elvis Presley,Blue Christmas,-,40,1,2019-01-05
41,Dan + Shay,Speechless,36,33,16,2019-01-05
42,John & Yoko/The Plastic Ono Band With The Harlem Community Choir,Happy Xmas (War Is Over),45,42,2,2019-01-05
43,Darlene Love,Christmas (Baby Please Come Home),50,43,2,2019-01-05
44,Kelly Clarkson,Underneath The Tree,-,44,4,2019-01-05
45,Chuck Berry,Run Rudolph Run,-,45,4,2019-01-05
46,Imagine Dragons,Natural,43,13,23,2019-01-05
47,Post Malone,Wow.,-,47,1,2019-01-05
48,Khalid & Normani,Love Lies,37,9,45,2019-01-05
49,Frank Sinatra,Jingle Bells,-,49,1,2019-01-05
50,Bazzi Featuring Camila Cabello,Beautiful,38,30,21,2019-01-05
51,Khalid,Better,39,29,15,2019-01-05
52,Lady Gaga & Bradley Cooper,Shallow,44,5,13,2019-01-05
53,Katy Perry,Cozy Little Christmas,68,53,2,2019-01-05
54,Luke Combs,She Got The Best Of Me ,51,34,20,2019-01-05
55,Lauren Daigle,The Christmas Song,90,55,2,2019-01-05
56,Lil Wayne,Uproar,49,7,13,2019-01-05
57,A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin,-,57,1,2019-01-05
58,21 Savage,Can't Leave Without It,-,58,1,2019-01-05
59,Lauren Daigle,You Say,59,44,24,2019-01-05
60,Ellie Goulding X Diplo Featuring Swae Lee,Close To Me,57,57,6,2019-01-05
61,Jimmie Allen,Best Shot,55,46,15,2019-01-05
62,Meek Mill Featuring Jeremih & PnB Rock,Dangerous,53,31,19,2019-01-05
63,Dean Lewis,Be Alright,63,63,9,2019-01-05
64,Mitchell Tenpenny,Drunk Me,54,53,20,2019-01-05
65,A Boogie Wit da Hoodie Featuring Offset & Tyga,Startender,-,65,1,2019-01-05
66,A Boogie Wit da Hoodie,Look Back At It,96,66,3,2019-01-05
67,21 Savage,All My Friends,-,67,1,2019-01-05
68,XXXTENTACION,BAD!,52,16,7,2019-01-05
69,Pardison Fontaine Featuring Cardi B,Backin' It Up,64,64,11,2019-01-05
70,21 Savage,Break Da Law,-,70,1,2019-01-05
71,Ariana Grande,Imagine,24,24,2,2019-01-05
72,Tory Lanez & Rich The Kid,Talk To Me,61,61,9,2019-01-05
73,21 Savage,Monster,-,73,1,2019-01-05
74,Kodak Black,Calling My Spirit,46,46,4,2019-01-05
75,Camila Cabello,Consequences,69,69,8,2019-01-05
76,Juice WRLD,Armed And Dangerous,60,44,7,2019-01-05
77,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,Arms Around You,62,28,9,2019-01-05
78,Mark Ronson Featuring Miley Cyrus,Nothing Breaks Like A Heart,56,56,4,2019-01-05
79,Thomas Rhett,Sixteen,67,67,7,2019-01-05
80,Dierks Bentley Featuring Brothers Osborne,Burning Man,65,65,10,2019-01-05
81,Luke Combs,Beautiful Crazy,81,58,7,2019-01-05
82,Billie Eilish,When The Party's Over,77,52,10,2019-01-05
83,Ava Max,Sweet But Psycho,87,83,2,2019-01-05
84,The Chainsmokers Featuring Kelsea Ballerini,This Feeling,66,66,11,2019-01-05
85,Jacquees,You,75,75,5,2019-01-05
86,21 Savage,1.5,-,86,1,2019-01-05
87,Jason Aldean,Girl Like You,71,71,5,2019-01-05
88,21 Savage,Out For The Night,-,88,1,2019-01-05
89,Dustin Lynch,Good Girl,72,72,7,2019-01-05
90,French Montana Featuring Drake,No Stylist,73,47,14,2019-01-05
91,Billie Eilish & Khalid,Lovely,89,78,9,2019-01-05
92,Anuel AA & Romeo Santos,Ella Quiere Beber,80,79,8,2019-01-05
93,21 Savage,Gun Smoke,-,93,1,2019-01-05
94,A Boogie Wit da Hoodie Featuring Juice WRLD,Demons And Angels,-,94,1,2019-01-05
95,21 Savage,ASMR,-,95,1,2019-01-05
96,Kip Moore,Last Shot,78,78,6,2019-01-05
97,Future & Juice WRLD,Fine China,82,26,10,2019-01-05
98,Calboy,Envy Me,91,91,2,2019-01-05
99,Shawn Mendes X Zedd,Lost In Japan,83,48,14,2019-01-05
100,Scotty McCreery,This Is It,84,84,3,2019-01-05
1,Halsey,Without Me,2,1,13,2019-01-12
2,Ariana Grande,"Thank U, Next",1,1,9,2019-01-12
3,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),5,3,11,2019-01-12
4,Travis Scott,Sicko Mode,4,1,22,2019-01-12
5,Panic! At The Disco,High Hopes,6,5,22,2019-01-12
6,Marshmello & Bastille,Happier,7,3,20,2019-01-12
7,Maroon 5 Featuring Cardi B,Girls Like You,14,1,32,2019-01-12
8,Lil Baby & Gunna,Drip Too Hard,12,4,16,2019-01-12
9,Kodak Black Featuring Travis Scott & Offset,ZEZE,15,2,12,2019-01-12
10,Post Malone,Better Now,23,3,36,2019-01-12
11,"benny blanco, Halsey & Khalid",Eastside,21,11,25,2019-01-12
12,Gucci Mane X Bruno Mars X Kodak Black,Wake Up In The Sky,18,11,16,2019-01-12
13,Post Malone,Wow.,47,13,2,2019-01-12
14,5 Seconds Of Summer,Youngblood,24,7,31,2019-01-12
15,Sheck Wes,Mo Bamba,17,6,19,2019-01-12
16,Ariana Grande,Breathin,22,12,20,2019-01-12
17,Cardi B,Money,19,13,11,2019-01-12
18,Juice WRLD,Lucid Dreams,27,2,34,2019-01-12
19,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",Taki Taki,30,11,14,2019-01-12
20,Bad Bunny Featuring Drake,MIA,31,5,12,2019-01-12
21,Meek Mill Featuring Drake,Going Bad,36,6,5,2019-01-12
22,Flipp Dinero,Leave Me Alone,33,22,16,2019-01-12
23,Ella Mai,Trip,38,11,22,2019-01-12
24,Dan + Shay,Speechless,41,24,17,2019-01-12
25,Imagine Dragons,Natural,46,13,24,2019-01-12
26,"Cardi B, Bad Bunny & J Balvin",I Like It,39,1,39,2019-01-12
27,Khalid & Normani,Love Lies,48,9,46,2019-01-12
28,Bazzi Featuring Camila Cabello,Beautiful,50,28,22,2019-01-12
29,Lady Gaga & Bradley Cooper,Shallow,52,5,14,2019-01-12
30,Khalid,Better,51,29,16,2019-01-12
31,Luke Combs,She Got The Best Of Me ,54,31,21,2019-01-12
32,Pinkfong,Baby Shark,-,32,1,2019-01-12
33,Ellie Goulding X Diplo Featuring Swae Lee,Close To Me,60,33,7,2019-01-12
34,Lauren Daigle,You Say,59,34,25,2019-01-12
35,Lil Wayne,Uproar,56,7,14,2019-01-12
36,21 Savage,A Lot,37,36,2,2019-01-12
37,Jimmie Allen,Best Shot,61,37,16,2019-01-12
38,A Boogie Wit da Hoodie Featuring 6ix9ine,Swervin,57,38,2,2019-01-12
39,Mitchell Tenpenny,Drunk Me,64,39,21,2019-01-12
40,Dean Lewis,Be Alright,63,40,10,2019-01-12
41,Ava Max,Sweet But Psycho,83,41,3,2019-01-12
42,Thomas Rhett,Sixteen,79,42,8,2019-01-12
43,Tory Lanez & Rich The Kid,Talk To Me,72,43,10,2019-01-12
44,Pardison Fontaine Featuring Cardi B,Backin' It Up,69,44,12,2019-01-12
45,Dierks Bentley Featuring Brothers Osborne,Burning Man,80,45,11,2019-01-12
46,Meek Mill Featuring Jeremih & PnB Rock,Dangerous,62,31,20,2019-01-12
47,Dustin Lynch,Good Girl,89,47,8,2019-01-12
48,Luke Combs,Beautiful Crazy,81,48,8,2019-01-12
49,Mark Ronson Featuring Miley Cyrus,Nothing Breaks Like A Heart,78,49,5,2019-01-12
50,The Chainsmokers Featuring Kelsea Ballerini,This Feeling,84,50,12,2019-01-12
51,Camila Cabello,Consequences,75,51,9,2019-01-12
52,Jason Aldean,Girl Like You,87,52,6,2019-01-12
53,Kip Moore,Last Shot,96,53,7,2019-01-12
54,A Boogie Wit da Hoodie,Look Back At It,66,54,4,2019-01-12
55,XXXTENTACION x Lil Pump Featuring Maluma & Swae Lee,Arms Around You,77,28,10,2019-01-12
56,Juice WRLD,Armed And Dangerous,76,44,8,2019-01-12
57,Scotty McCreery,This Is It,100,57,4,2019-01-12
58,Kodak Black,Calling My Spirit,74,46,5,2019-01-12
