rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,Mariah Carey,All I Want For Christmas Is You,1,1,37,2020-01-04
2,Brenda Lee,Rockin' Around The Christmas Tree,2,2,32,2020-01-04
3,Bobby Helms,Jingle Bell Rock,9,3,30,2020-01-04
4,Burl Ives,A Holly Jolly Christmas,6,4,15,2020-01-04
5,Post Malone,Circles,3,1,17,2020-01-04
6,Arizona Zervas,Roxanne,4,4,8,2020-01-04
7,Andy Williams,It's The Most Wonderful Time Of The Year,15,7,15,2020-01-04
8,Lewis Capaldi,Someone You Loved,8,1,33,2020-01-04
9,Maroon 5,Memories,7,4,14,2020-01-04
10,Lizzo,Good As Hell,10,3,18,2020-01-04
11,Wham!,Last Christmas,17,11,14,2020-01-04
12,Jose Feliciano,Feliz Navidad,23,12,9,2020-01-04
13,Roddy Ricch,The Box,18,13,3,2020-01-04
14,Tones And I,Dance Monkey,11,9,12,2020-01-04
15,Dean Martin,"Let It Snow, Let It Snow, Let It Snow",28,15,8,2020-01-04
16,Nat King Cole,The Christmas Song (Merry Christmas To You),30,11,21,2020-01-04
17,Dan + Shay & Justin Bieber,"10,000 Hours",13,4,12,2020-01-04
18,Selena Gomez,Lose You To Love Me,12,1,10,2020-01-04
19,Mustard & Roddy Ricch,Ballin',14,14,23,2020-01-04
20,DaBaby,BOP,16,11,13,2020-01-04
21,The Ronettes,Sleigh Ride,37,21,7,2020-01-04
22,Gene Autry,Rudolph The Red-Nosed Reindeer,36,16,8,2020-01-04
23,Billie Eilish,Bad Guy,25,1,39,2020-01-04
24,Andy Williams,Happy Holiday / The Holiday Season,40,24,4,2020-01-04
25,Chris Brown Featuring Drake,No Guidance,20,5,29,2020-01-04
26,Shawn Mendes & Camila Cabello,Senorita,21,1,27,2020-01-04
27,Juice WRLD & YoungBoy Never Broke Again,Bandit,19,10,12,2020-01-04
28,Perry Como And The Fontane Sisters With Mitchell Ayres And His Orchestra,It's Beginning To Look A Lot Like Christmas,50,28,4,2020-01-04
29,Darlene Love,Christmas (Baby Please Come Home),-,29,3,2020-01-04
30,Lil Nas X,Panini,29,5,27,2020-01-04
31,Kelly Clarkson,Underneath The Tree,-,31,5,2020-01-04
32,Gene Autry,Here Comes Santa Claus (Right Down Santa Claus Lane),47,28,6,2020-01-04
33,Young Thug Featuring Gunna,Hot,31,11,19,2020-01-04
34,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,41,1,43,2020-01-04
35,Lizzo,Truth Hurts,32,1,34,2020-01-04
36,Chuck Berry,Run Rudolph Run,-,36,5,2020-01-04
37,Perry Como,(There's No Place Like) Home For The Holidays,-,32,3,2020-01-04
38,Travis Scott,HIGHEST IN THE ROOM,27,1,12,2020-01-04
39,The Weeknd,Heartless,26,1,5,2020-01-04
40,Elvis Presley,Blue Christmas,-,40,2,2020-01-04
41,Billie Eilish,Everything I Wanted,34,8,7,2020-01-04
42,Bing Crosby,White Christmas,-,12,16,2020-01-04
43,Frank Sinatra,Jingle Bells,-,43,2,2020-01-04
44,Jonas Brothers,Like It's Christmas,53,44,4,2020-01-04
45,Dean Martin,Baby It's Cold Outside,-,45,1,2020-01-04
46,SHAED,Trampoline,33,13,30,2020-01-04
47,Lil Baby,Woah,35,16,7,2020-01-04
48,Lil Uzi Vert,Futsal Shuffle 2020,5,5,2,2020-01-04
49,Thurl Ravenscroft,"You're A Mean One, Mr. Grinch",-,49,1,2020-01-04
50,Lil Tecca,Ran$om,39,4,30,2020-01-04
51,Trevor Daniel,Falling,38,36,6,2020-01-04
52,Dua Lipa,Don't Start Now,42,30,8,2020-01-04
53,Harry Styles,Adore You,24,24,3,2020-01-04
54,Old Dominion,One Man Band,44,20,18,2020-01-04
55,blackbear,Hot Girl Bummer,51,41,15,2020-01-04
56,YNW Melly & Juice WRLD,Suicidal,58,56,5,2020-01-04
57,Taylor Swift,Lover,48,10,19,2020-01-04
58,Wale Featuring Jeremih,On Chill,46,22,20,2020-01-04
59,Luke Combs,Even Though I'm Leaving,49,11,17,2020-01-04
60,Don Toliver,No Idea,43,43,4,2020-01-04
