rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,Beyonce,Irreplaceable,1,1,10,2007-01-06
2,Akon Featuring Snoop Dogg,I Wanna Love You,2,1,13,2007-01-06
3,Fergie,Fergalicious,4,3,14,2007-01-06
4,Akon Featuring Eminem,Smack That,3,2,14,2007-01-06
5,Justin Timberlake Featuring T.I.,My Love,5,1,16,2007-01-06
6,Nelly Furtado,Say It Right,6,6,7,2007-01-06
7,The Fray,How To Save A Life,8,3,37,2007-01-06
8,Jim Jones,We Fly High,7,7,12,2007-01-06
9,Bow Wow Featuring Chris Brown & Johnta Austin,Shortie Like Mine,9,9,12,2007-01-06
10,Hinder,Lips Of An Angel,10,3,24,2007-01-06
11,The All-American Rejects,It Ends Tonight,18,11,13,2007-01-06
12,Justin Timberlake,SexyBack,16,1,25,2007-01-06
13,Unk,Walk It Out,13,13,16,2007-01-06
14,Ciara,Promise,11,11,7,2007-01-06
15,Ludacris Featuring Pharrell,Money Maker,15,1,20,2007-01-06
16,My Chemical Romance,Welcome To The Black Parade,27,13,15,2007-01-06
17,Snow Patrol,Chasing Cars,17,5,32,2007-01-06
18,Paula DeAnda Featuring The DEY,Walk Away (Remember Me),22,18,12,2007-01-06
19,Nickelback,Far Away,20,8,23,2007-01-06
20,Avril Lavigne,Keep Holding On,19,17,4,2007-01-06
21,Gwen Stefani,Wind It Up,12,6,8,2007-01-06
22,Ludacris Featuring Mary J. Blige,Runaway Love,31,22,6,2007-01-06
23,Justin Timberlake,What Goes Around...Comes Around,38,23,3,2007-01-06
24,Carrie Underwood,Before He Cheats,23,16,17,2007-01-06
25,Christina Aguilera,Hurt,21,19,13,2007-01-06
26,Young Jeezy,I Luv It,14,14,6,2007-01-06
27,Fat Joe Featuring Lil Wayne,Make It Rain,30,27,8,2007-01-06
28,John Mayer,Waiting On The World To Change,29,20,24,2007-01-06
29,Lloyd Featuring Lil Wayne,You,26,26,7,2007-01-06
30,Chris Brown,Say Goodbye,28,10,20,2007-01-06
31,Red Hot Chili Peppers,Snow ((Hey Oh)),49,31,6,2007-01-06
32,Snoop Dogg Featuring R. Kelly,That's That,24,20,6,2007-01-06
33,JoJo,Too Little Too Late,35,3,19,2007-01-06
34,Lil Scrappy Featuring Young Buck,Money In The Bank,32,28,15,2007-01-06
35,The Pussycat Dolls Featuring Timbaland,Wait A Minute,37,35,7,2007-01-06
36,Evanescence,Call Me When You're Sober,34,10,19,2007-01-06
37,Rascal Flatts,My Wish,33,28,16,2007-01-06
38,Daughtry,It's Not Over,44,38,5,2007-01-06
39,Stone Sour,Through Glass,41,39,21,2007-01-06
40,Brad Paisley,She's Everything,36,35,12,2007-01-06
