rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,The Weeknd Featuring Daft Punk,Starboy,2,1,14,2017-01-07
2,Rae Sremmurd Featuring Gucci Mane,Black Beatles,1,1,15,2017-01-07
3,The Chainsmokers Featuring Halsey,Closer,3,1,21,2017-01-07
4,Bruno Mars,24K Magic,4,4,11,2017-01-07
5,Zay Hilfigerrr & Zayion McCall,Juju On That Beat (TZ Anthem),8,5,13,2017-01-07
6,Ariana Grande Featuring Nicki Minaj,Side To Side,5,4,17,2017-01-07
7,DJ Snake Featuring Justin Bieber,Let Me Love You,9,4,20,2017-01-07
8,Maroon 5 Featuring Kendrick Lamar,Don't Wanna Know,10,7,11,2017-01-07
9,Machine Gun Kelly x Camila Cabello,Bad Things,14,9,8,2017-01-07
10,Drake,Fake Love,12,10,9,2017-01-07
11,Amine,Caroline,16,11,16,2017-01-07
12,twenty one pilots,Heathens,15,2,27,2017-01-07
13,Migos Featuring Lil Uzi Vert,Bad And Boujee,26,13,6,2017-01-07
14,Alessia Cara,Scars To Your Beautiful,18,13,17,2017-01-07
15,D.R.A.M. Featuring Lil Yachty,Broccoli,17,5,28,2017-01-07
16,Mariah Carey,All I Want For Christmas Is You,20,11,18,2017-01-07
17,Hailee Steinfeld & Grey Featuring Zedd,Starving,19,12,21,2017-01-07
18,Zayn / Taylor Swift,I Don't Wanna Live Forever (Fifty Shades Darker),6,6,2,2017-01-07
19,Young M.A,OOOUUU,47,19,17,2017-01-07
20,Rihanna,Love On The Brain,27,20,10,2017-01-07
21,Big Sean,Bounce Back,31,21,7,2017-01-07
22,Sia Featuring Kendrick Lamar,The Greatest,28,18,16,2017-01-07
23,Pentatonix,Hallelujah,45,23,9,2017-01-07
24,Jon Bellion,All Time Low,36,24,11,2017-01-07
25,The Weeknd Featuring Daft Punk,I Feel It Coming,33,22,5,2017-01-07
26,Shawn Mendes,Treat You Better,32,6,29,2017-01-07
27,Brenda Lee,Rockin' Around The Christmas Tree,48,14,18,2017-01-07
28,Shawn Mendes,Mercy,44,28,14,2017-01-07
29,Bobby Helms,Jingle Bell Rock,46,29,19,2017-01-07
30,Martin Garrix & Bebe Rexha,In The Name Of Love,35,24,19,2017-01-07
31,gnash Featuring Olivia O'Brien,I Hate U I Love U,25,10,36,2017-01-07
32,Justin Timberlake,Can't Stop The Feeling!,39,1,33,2017-01-07
33,Keith Urban,Blue Ain't Your Color,38,24,15,2017-01-07
34,The Chainsmokers Featuring Daya,Don't Let Me Down,43,3,45,2017-01-07
35,J. Cole,Deja Vu,7,7,2,2017-01-07
36,Sia Featuring Sean Paul,Cheap Thrills,41,1,45,2017-01-07
37,Niall Horan,This Town,50,25,13,2017-01-07
38,Major Lazer Featuring Justin Bieber & MO,Cold Water,40,2,22,2017-01-07
39,Rob $tone Featuring J. Davi$ & Spooks,Chill Bill,49,29,21,2017-01-07
40,John Legend,Love Me Now,37,23,9,2017-01-07
41,Gucci Mane Featuring Drake,Both,-,41,1,2017-01-07
42,X Ambassadors,Unsteady,42,20,32,2017-01-07
43,21 Savage & Metro Boomin Featuring Future,X,51,36,15,2017-01-07
44,Jose Feliciano,Feliz Navidad,-,44,1,2017-01-07
45,Pentatonix,"Mary, Did You Know?",-,26,7,2017-01-07
46,Burl Ives,A Holly Jolly Christmas,-,46,1,2017-01-07
47,Nat King Cole,The Christmas Song (Merry Christmas To You),-,38,8,2017-01-07
48,Andy Williams,It's The Most Wonderful Time Of The Year,-,48,1,2017-01-07
49,The Weeknd,Party Monster,53,16,5,2017-01-07
50,Wham!,Last Christmas,-,50,1,2017-01-07
51,Adele,Water Under The Bridge,61,51,7,2017-01-07
52,Lil Uzi Vert,You Was Right,58,49,24,2017-01-07
53,21 Savage & Metro Boomin,No Heart,55,53,9,2017-01-07
54,J. Cole,Neighbors,13,13,2,2017-01-07
55,Future Featuring Drake,Used To This,64,14,7,2017-01-07
56,Auli'i Cravalho,How Far I'll Go,66,52,4,2017-01-07
57,"DJ Khaled Featuring Nicki Minaj, Chris Brown, August Alsina, Jeremih, Future & Rick Ross",Do You Mind,60,27,20,2017-01-07
58,Chris Brown Featuring Usher & Gucci Mane,Party,-,58,1,2017-01-07
59,J. Cole,Immortal,11,11,2,2017-01-07
60,Florida Georgia Line Featuring Tim McGraw,May We All,56,30,17,2017-01-07
61,James Arthur,Say You Won't Let Go,65,60,9,2017-01-07
62,Brett Eldredge,Wanna Be That Song,59,53,12,2017-01-07
63,DJ ESCO Featuring Future & Lil Uzi Vert,Too Much Sauce,74,61,18,2017-01-07
64,Little Big Town,Better Man,68,53,8,2017-01-07
65,Shakira Featuring Maluma,Chantaje,71,65,6,2017-01-07
66,Carrie Underwood,Dirty Laundry,70,66,10,2017-01-07
67,Lil Yachty,1 Night,73,49,20,2017-01-07
68,Childish Gambino,Redbone,75,48,4,2017-01-07
69,Drake Featuring 21 Savage,Sneakin',72,28,9,2017-01-07
70,Lady Gaga,Million Reasons,62,52,7,2017-01-07
71,Blake Shelton,A Guy With A Girl,79,71,6,2017-01-07
72,Steve Aoki & Louis Tomlinson,Just Hold On,52,52,2,2017-01-07
73,Old Dominion,Song For Another Time,69,59,13,2017-01-07
74,Young Thug And Travis Scott Featuring Quavo,Pick Up The Phone,76,43,19,2017-01-07
75,Noah Cyrus Featuring Labrinth,Make Me (Cry),-,75,2,2017-01-07
76,Thomas Rhett,Star Of The Show,84,76,8,2017-01-07
77,Fitz And The Tantrums,HandClap,80,63,13,2017-01-07
78,Tim McGraw,How I'll Always Be,85,78,10,2017-01-07
79,Clean Bandit Featuring Sean Paul & Anne-Marie,Rockabye,90,79,3,2017-01-07
80,Marshmello,Alone,99,80,4,2017-01-07
81,Alessia Cara,How Far I'll Go,94,81,3,2017-01-07
82,The Chainsmokers Featuring Phoebe Ryan,All We Know,95,18,12,2017-01-07
83,J. Cole,Change,21,21,2,2017-01-07
84,Jon Pardi,Dirt On My Boots,92,84,3,2017-01-07
85,PnB Rock,Selfish,96,81,7,2017-01-07
86,Dwayne Johnson,You're Welcome,97,83,4,2017-01-07
87,Andy Grammer,Fresh Eyes,88,59,12,2017-01-07
88,Brett Young,Sleep Without You,86,47,15,2017-01-07
89,J. Cole,She's Mine Pt. 1,22,22,2,2017-01-07
90,J. Cole,Ville Mentality,24,24,2,2017-01-07
91,DJ Luke Nasty,OTW,-,91,1,2017-01-07
92,21 Savage,Red Opps,-,92,1,2017-01-07
93,J. Cole,For Whom The Bell Tolls,23,23,2,2017-01-07
94,The Weeknd,Six Feet Under,81,34,4,2017-01-07
95,The Weeknd,Reminder,78,31,4,2017-01-07
96,Train,Play That Song,87,77,4,2017-01-07
97,The Weeknd Featuring Kendrick Lamar,Sidewalks,82,27,4,2017-01-07
98,J. Cole,Foldin Clothes,30,30,2,2017-01-07
99,Rae Sremmurd,Swang,-,99,1,2017-01-07
100,Bruno Mars,Versace On The Floor,-,98,2,2017-01-07
1,Rae Sremmurd Featuring Gucci Mane,Black Beatles,2,1,16,2017-01-14
2,Migos Featuring Lil Uzi Vert,Bad And Boujee,13,2,7,2017-01-14
3,The Weeknd Featuring Daft Punk,Starboy,1,1,15,2017-01-14
4,The Chainsmokers Featuring Halsey,Closer,3,1,22,2017-01-14
5,Bruno Mars,24K Magic,4,4,12,2017-01-14
6,Zay Hilfigerrr & Zayion McCall,Juju On That Beat (TZ Anthem),5,5,14,2017-01-14
7,Ariana Grande Featuring Nicki Minaj,Side To Side,6,4,18,2017-01-14
8,DJ Snake Featuring Justin Bieber,Let Me Love You,7,4,21,2017-01-14
9,Drake,Fake Love,10,9,10,2017-01-14
10,D.R.A.M. Featuring Lil Yachty,Broccoli,15,5,29,2017-01-14
11,Maroon 5 Featuring Kendrick Lamar,Don't Wanna Know,8,7,12,2017-01-14
12,Machine Gun Kelly x Camila Cabello,Bad Things,9,9,9,2017-01-14
13,twenty one pilots,Heathens,12,2,28,2017-01-14
14,Amine,Caroline,11,11,17,2017-01-14
15,Alessia Cara,Scars To Your Beautiful,14,13,18,2017-01-14
16,Jon Bellion,All Time Low,24,16,12,2017-01-14
17,Shawn Mendes,Mercy,28,17,15,2017-01-14
18,Hailee Steinfeld & Grey Featuring Zedd,Starving,17,12,22,2017-01-14
19,Young M.A,OOOUUU,19,19,18,2017-01-14
20,Niall Horan,This Town,37,20,14,2017-01-14
21,Big Sean,Bounce Back,21,21,8,2017-01-14
22,Zayn / Taylor Swift,I Don't Wanna Live Forever (Fifty Shades Darker),18,6,3,2017-01-14
23,Rihanna,Love On The Brain,20,20,11,2017-01-14
24,Shawn Mendes,Treat You Better,26,6,30,2017-01-14
25,Justin Timberlake,Can't Stop The Feeling!,32,1,34,2017-01-14
26,Martin Garrix & Bebe Rexha,In The Name Of Love,30,24,20,2017-01-14
27,Sia Featuring Kendrick Lamar,The Greatest,22,18,17,2017-01-14
28,Keith Urban,Blue Ain't Your Color,33,24,16,2017-01-14
29,Rob $tone Featuring J. Davi$ & Spooks,Chill Bill,39,29,22,2017-01-14
30,Sia Featuring Sean Paul,Cheap Thrills,36,1,46,2017-01-14
31,gnash Featuring Olivia O'Brien,I Hate U I Love U,31,10,37,2017-01-14
32,Pentatonix,Hallelujah,23,23,10,2017-01-14
33,Wham! Featuring George Michael,Careless Whisper,-,1,22,2017-01-14
34,The Weeknd Featuring Daft Punk,I Feel It Coming,25,22,6,2017-01-14
35,Mariah Carey,All I Want For Christmas Is You,16,11,19,2017-01-14
36,21 Savage & Metro Boomin Featuring Future,X,43,36,16,2017-01-14
37,The Chainsmokers Featuring Daya,Don't Let Me Down,34,3,46,2017-01-14
38,Major Lazer Featuring Justin Bieber & MO,Cold Water,38,2,23,2017-01-14
39,John Legend,Love Me Now,40,23,10,2017-01-14
40,X Ambassadors,Unsteady,42,20,33,2017-01-14
41,Wham!,Last Christmas,50,41,2,2017-01-14
42,Lil Uzi Vert,You Was Right,52,42,25,2017-01-14
43,21 Savage & Metro Boomin,No Heart,53,43,10,2017-01-14
44,Adele,Water Under The Bridge,51,44,8,2017-01-14
45,Florida Georgia Line Featuring Tim McGraw,May We All,60,30,18,2017-01-14
46,J. Cole,Deja Vu,35,7,3,2017-01-14
47,George Michael,Faith,-,1,21,2017-01-14
48,Brett Eldredge,Wanna Be That Song,62,48,13,2017-01-14
49,Auli'i Cravalho,How Far I'll Go,56,49,5,2017-01-14
50,James Arthur,Say You Won't Let Go,61,50,10,2017-01-14
51,PnB Rock,Selfish,85,51,8,2017-01-14
52,Future Featuring Drake,Used To This,55,14,8,2017-01-14
53,The Weeknd,Party Monster,49,16,6,2017-01-14
54,Carrie Underwood,Dirty Laundry,66,54,11,2017-01-14
55,Little Big Town,Better Man,64,53,9,2017-01-14
56,DJ ESCO Featuring Future & Lil Uzi Vert,Too Much Sauce,63,56,19,2017-01-14
57,Gucci Mane Featuring Drake,Both,41,41,2,2017-01-14
58,Chris Brown Featuring Usher & Gucci Mane,Party,58,58,2,2017-01-14
59,Thomas Rhett,Star Of The Show,76,59,9,2017-01-14
60,Blake Shelton,A Guy With A Girl,71,60,7,2017-01-14
61,J. Cole,Neighbors,54,13,3,2017-01-14
62,Brett Young,Sleep Without You,88,47,16,2017-01-14
63,Shakira Featuring Maluma,Chantaje,65,63,7,2017-01-14
64,Jon Pardi,Dirt On My Boots,84,64,4,2017-01-14
65,Young Thug And Travis Scott Featuring Quavo,Pick Up The Phone,74,43,20,2017-01-14
66,Drake Featuring 21 Savage,Sneakin',69,28,10,2017-01-14
67,Fitz And The Tantrums,HandClap,77,63,14,2017-01-14
68,J. Cole,Immortal,59,11,3,2017-01-14
69,Alessia Cara,How Far I'll Go,81,69,4,2017-01-14
70,Tim McGraw,How I'll Always Be,78,70,11,2017-01-14
71,Big Sean,Moves,-,71,1,2017-01-14
72,Old Dominion,Song For Another Time,73,59,14,2017-01-14
73,Dwayne Johnson,You're Welcome,86,73,5,2017-01-14
74,DJ Luke Nasty,OTW,91,74,2,2017-01-14
75,21 Savage,Red Opps,92,75,2,2017-01-14
76,Rae Sremmurd,Swang,99,76,2,2017-01-14
77,Noah Cyrus Featuring Labrinth,Make Me (Cry),75,75,3,2017-01-14
78,Clean Bandit Featuring Sean Paul & Anne-Marie,Rockabye,79,78,4,2017-01-14
79,Dustin Lynch,Seein' Red,-,79,1,2017-01-14
80,KYLE Featuring Lil Yachty,iSpy,-,80,1,2017-01-14
81,Train,Play That Song,96,77,5,2017-01-14
82,Eric Church Featuring Rhiannon Giddens,Kill A Word,-,82,3,2017-01-14
83,Lady Gaga,Million Reasons,70,52,8,2017-01-14
84,Marshmello,Alone,80,80,5,2017-01-14
85,Travis Scott,Goosebumps,-,85,8,2017-01-14
86,A Boogie Wit da Hoodie,My Sh*t,-,86,10,2017-01-14
87,Childish Gambino,Redbone,68,48,5,2017-01-14
88,The Chainsmokers Featuring Phoebe Ryan,All We Know,82,18,13,2017-01-14
89,Chris Stapleton,Parachute,-,89,2,2017-01-14
90,Michael Ray,Think A Little Less,-,90,1,2017-01-14
91,Maren Morris,80s Mercedes,-,90,7,2017-01-14
92,Andy Grammer,Fresh Eyes,87,59,13,2017-01-14
93,Steve Aoki & Louis Tomlinson,Just Hold On,72,52,3,2017-01-14
94,Rihanna,Sex With Me,-,92,9,2017-01-14
95,Kodak Black,No Flockin,-,95,1,2017-01-14
96,A Boogie Wit da Hoodie Featuring DJ SPINKING,Timeless,-,96,1,2017-01-14
97,Nicki Minaj X Mike WiLL Made-It,Black Barbies,-,65,2,2017-01-14
98,KALEO,Way Down We Go,-,98,1,2017-01-14
99,Olivia O'Brien,Hate U Love U,-,99,1,2017-01-14
100,Daddy Yankee,Shaky Shaky,-,100,1,2017-01-14
1,Migos Featuring Lil Uzi Vert,Bad And Boujee,2,1,8,2017-01-21
2,Rae Sremmurd Featuring Gucci Mane,Black Beatles,1,1,17,2017-01-21
3,The Chainsmokers Featuring Halsey,Closer,4,1,23,2017-01-21
4,The Weeknd Featuring Daft Punk,Starboy,3,1,16,2017-01-21
5,Bruno Mars,24K Magic,5,4,13,2017-01-21
6,Ariana Grande Featuring Nicki Minaj,Side To Side,7,4,19,2017-01-21
7,Maroon 5 Featuring Kendrick Lamar,Don't Wanna Know,11,7,13,2017-01-21
8,DJ Snake Featuring Justin Bieber,Let Me Love You,8,4,22,2017-01-21
9,Drake,Fake Love,9,9,11,2017-01-21
10,Machine Gun Kelly x Camila Cabello,Bad Things,12,9,10,2017-01-21
11,Zay Hilfigerrr & Zayion McCall,Juju On That Beat (TZ Anthem),6,5,15,2017-01-21
12,Alessia Cara,Scars To Your Beautiful,15,12,19,2017-01-21
13,twenty one pilots,Heathens,13,2,29,2017-01-21
14,Zayn / Taylor Swift,I Don't Wanna Live Forever (Fifty Shades Darker),22,6,4,2017-01-21
15,D.R.A.M. Featuring Lil Yachty,Broccoli,10,5,30,2017-01-21
16,Amine,Caroline,14,11,18,2017-01-21
17,Hailee Steinfeld & Grey Featuring Zedd,Starving,18,12,23,2017-01-21
18,Big Sean,Bounce Back,21,18,9,2017-01-21
19,Shawn Mendes,Mercy,17,17,16,2017-01-21
20,Justin Timberlake,Can't Stop The Feeling!,25,1,35,2017-01-21
21,Rihanna,Love On The Brain,23,20,12,2017-01-21
22,Jon Bellion,All Time Low,16,16,13,2017-01-21
23,Shawn Mendes,Treat You Better,24,6,31,2017-01-21
24,Young M.A,OOOUUU,19,19,19,2017-01-21
25,The Weeknd Featuring Daft Punk,I Feel It Coming,34,22,7,2017-01-21
26,Sia Featuring Sean Paul,Cheap Thrills,30,1,47,2017-01-21
27,Niall Horan,This Town,20,20,15,2017-01-21
28,Martin Garrix & Bebe Rexha,In The Name Of Love,26,24,21,2017-01-21
29,The Chainsmokers Featuring Daya,Don't Let Me Down,37,3,47,2017-01-21
30,Keith Urban,Blue Ain't Your Color,28,24,17,2017-01-21
31,John Legend,Love Me Now,39,23,11,2017-01-21
32,Sia Featuring Kendrick Lamar,The Greatest,27,18,18,2017-01-21
33,gnash Featuring Olivia O'Brien,I Hate U I Love U,31,10,38,2017-01-21
34,Major Lazer Featuring Justin Bieber & MO,Cold Water,38,2,24,2017-01-21
35,Rob $tone Featuring J. Davi$ & Spooks,Chill Bill,29,29,23,2017-01-21
36,21 Savage & Metro Boomin Featuring Future,X,36,36,17,2017-01-21
37,James Arthur,Say You Won't Let Go,50,37,11,2017-01-21
38,Adele,Water Under The Bridge,44,38,9,2017-01-21
39,X Ambassadors,Unsteady,40,20,34,2017-01-21
40,Lil Uzi Vert,You Was Right,42,40,26,2017-01-21
41,Auli'i Cravalho,How Far I'll Go,49,41,6,2017-01-21
42,Florida Georgia Line Featuring Tim McGraw,May We All,45,30,19,2017-01-21
43,21 Savage & Metro Boomin,No Heart,43,43,11,2017-01-21
44,Little Big Town,Better Man,55,44,10,2017-01-21
45,Future Featuring Drake,Used To This,52,14,9,2017-01-21
46,Brett Eldredge,Wanna Be That Song,48,46,14,2017-01-21
47,J. Cole,Deja Vu,46,7,4,2017-01-21
48,Carrie Underwood,Dirty Laundry,54,48,12,2017-01-21
49,The Weeknd,Party Monster,53,16,7,2017-01-21
50,DJ ESCO Featuring Future & Lil Uzi Vert,Too Much Sauce,56,50,20,2017-01-21
51,Shakira Featuring Maluma,Chantaje,63,51,8,2017-01-21
52,Gucci Mane Featuring Drake,Both,57,41,3,2017-01-21
53,Chris Brown Featuring Usher & Gucci Mane,Party,58,53,3,2017-01-21
54,Blake Shelton,A Guy With A Girl,60,54,8,2017-01-21
55,Noah Cyrus Featuring Labrinth,Make Me (Cry),77,55,4,2017-01-21
56,Fitz And The Tantrums,HandClap,67,56,15,2017-01-21
57,Thomas Rhett,Star Of The Show,59,57,10,2017-01-21
58,Alessia Cara,How Far I'll Go,69,58,5,2017-01-21
59,Jon Pardi,Dirt On My Boots,64,59,5,2017-01-21
60,PnB Rock,Selfish,51,51,9,2017-01-21
61,Clean Bandit Featuring Sean Paul & Anne-Marie,Rockabye,78,61,5,2017-01-21
62,KYLE Featuring Lil Yachty,iSpy,80,62,2,2017-01-21
63,Drake Featuring 21 Savage,Sneakin',66,28,11,2017-01-21
64,J. Cole,Neighbors,61,13,4,2017-01-21
65,Dwayne Johnson,You're Welcome,73,65,6,2017-01-21
66,Old Dominion,Song For Another Time,72,59,15,2017-01-21
67,Brett Young,Sleep Without You,62,47,17,2017-01-21
68,Train,Play That Song,81,68,6,2017-01-21
69,Dustin Lynch,Seein' Red,79,69,2,2017-01-21
70,Tim McGraw,How I'll Always Be,70,70,12,2017-01-21
71,Rae Sremmurd,Swang,76,71,3,2017-01-21
72,Marshmello,Alone,84,72,6,2017-01-21
73,DJ Luke Nasty,OTW,74,73,3,2017-01-21
74,Maren Morris,80s Mercedes,91,74,8,2017-01-21
75,21 Savage,Red Opps,75,75,3,2017-01-21
76,Travis Scott,Goosebumps,85,76,9,2017-01-21
77,Big Sean,Moves,71,71,2,2017-01-21
78,Chris Stapleton,Parachute,89,78,3,2017-01-21
79,Eric Church Featuring Rhiannon Giddens,Kill A Word,82,79,4,2017-01-21
80,The Chainsmokers Featuring Phoebe Ryan,All We Know,88,18,14,2017-01-21
81,Childish Gambino,Redbone,87,48,6,2017-01-21
82,J. Cole,Immortal,68,11,4,2017-01-21
83,Rihanna,Sex With Me,94,83,10,2017-01-21
84,Pentatonix,Hallelujah,32,23,11,2017-01-21
85,KALEO,Way Down We Go,98,85,2,2017-01-21
86,Lady Gaga,Million Reasons,83,52,9,2017-01-21
87,Michael Ray,Think A Little Less,90,87,2,2017-01-21
88,Daddy Yankee,Shaky Shaky,100,88,2,2017-01-21
89,A Boogie Wit da Hoodie Featuring DJ SPINKING,Timeless,96,89,2,2017-01-21
90,Post Malone Featuring Quavo,Congratulations,-,83,2,2017-01-21
91,Andy Grammer,Fresh Eyes,92,59,14,2017-01-21
92,Chris Young Featuring Vince Gill,Sober Saturday Night,-,92,1,2017-01-21
93,Travis Scott,Beibs In The Trap,-,93,1,2017-01-21
94,Bebe Rexha,I Got You,-,94,1,2017-01-21
95,Brantley Gilbert,The Weekend,-,95,1,2017-01-21
96,A Boogie Wit da Hoodie,My Sh*t,86,86,11,2017-01-21
97,YFN Lucci Featuring Migos & Trouble,Key To The Streets,-,70,11,2017-01-21
98,Opetaia Foa'i & Lin-Manuel Miranda,We Know The Way,-,93,2,2017-01-21
99,Steve Aoki & Louis Tomlinson,Just Hold On,93,52,4,2017-01-21
100,Ugly God,Water,-,100,1,2017-01-21
1,Ed Sheeran,Shape Of You,-,1,1,2017-01-28
2,Migos Featuring Lil Uzi Vert,Bad And Boujee,1,1,9,2017-01-28
3,Rae Sremmurd Featuring Gucci Mane,Black Beatles,2,1,18,2017-01-28
4,The Weeknd Featuring Daft Punk,Starboy,4,1,17,2017-01-28
5,The Chainsmokers Featuring Halsey,Closer,3,1,24,2017-01-28
6,Ed Sheeran,Castle On The Hill,-,6,1,2017-01-28
