rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,Beyonce,Single Ladies (Put A Ring On It),1,1,10,2009-01-03
2,T.I. Featuring Rihanna,Live Your Life,2,1,13,2009-01-03
3,Lady Gaga Featuring Colby O'Donis,Just Dance,3,3,20,2009-01-03
4,Kanye West,Heartless,7,4,7,2009-01-03
5,Britney Spears,Womanizer,6,1,12,2009-01-03
6,Katy Perry,Hot N Cold,8,3,21,2009-01-03
7,Taylor Swift,Love Story,11,5,15,2009-01-03
8,Kanye West,Love Lockdown,10,3,14,2009-01-03
9,T.I.,Whatever You Like,5,1,20,2009-01-03
10,Beyonce,If I Were A Boy,9,3,11,2009-01-03
11,Britney Spears,Circus,4,3,3,2009-01-03
12,Jason Mraz,I'm Yours,12,6,36,2009-01-03
13,Kevin Rudolf Featuring Lil Wayne,Let It Rock,13,5,17,2009-01-03
14,Ne-Yo,Miss Independent,14,7,18,2009-01-03
15,Akon,Right Now (Na Na Na),15,8,13,2009-01-03
16,P!nk,So What,16,1,18,2009-01-03
17,Nickelback,Gotta Be Somebody,17,10,12,2009-01-03
18,Rihanna,Rehab,21,18,7,2009-01-03
19,The All-American Rejects,Gives You Hell,37,19,6,2009-01-03
20,Zac Brown Band,Chicken Fried,20,20,14,2009-01-03
21,Lil Wayne Featuring Bobby Valentino & Kidd Kidd,Mrs. Officer,19,16,18,2009-01-03
22,Jim Jones & Ron Browz Featuring Juelz Santana,Pop Champagne,25,22,10,2009-01-03
23,Rihanna,Disturbia,22,1,27,2009-01-03
24,John Legend Featuring Andre 3000,Green Light,24,24,16,2009-01-03
25,Ludacris Co-Starring T-Pain,One More Drink,26,25,8,2009-01-03
26,Saving Abel,Addicted,23,20,28,2009-01-03
27,T-Pain Featuring Lil Wayne,Can't Believe It,18,7,21,2009-01-03
28,T-Pain Featuring Ludacris,Chopped 'N' Skrewed,27,27,10,2009-01-03
29,The Fray,You Found Me,30,15,5,2009-01-03
30,Leona Lewis,Better In Time,28,11,24,2009-01-03
31,Plies Featuring Chris J,Put It On Ya,65,31,5,2009-01-03
32,The Pussycat Dolls,I Hate This Part,58,32,4,2009-01-03
33,Akon Featuring Lil Wayne & Young Jeezy,I'm So Paid,31,31,10,2009-01-03
34,P!nk,Sober,49,34,4,2009-01-03
35,The Veronicas,Untouched,40,35,4,2009-01-03
36,Coldplay,Viva La Vida,32,1,33,2009-01-03
37,O.A.R.,Shattered (Turn The Car Around),36,36,20,2009-01-03
38,Montgomery Gentry,Roll With Me,33,33,15,2009-01-03
39,Fall Out Boy,I Don't Care,62,21,15,2009-01-03
40,David Cook,Light On,48,17,11,2009-01-03
41,The Killers,Human,41,32,12,2009-01-03
42,Ne-Yo,Closer,38,7,36,2009-01-03
43,Gavin Rossdale,Love Remains The Same,35,27,29,2009-01-03
44,Paramore,Decode,46,34,7,2009-01-03
45,David Archuleta,Crush,43,2,19,2009-01-03
46,Secondhand Serenade,Fall For You,44,21,28,2009-01-03
47,Usher,Trading Places,45,45,8,2009-01-03
48,Taylor Swift,White Horse,51,13,6,2009-01-03
49,Jamie Foxx Featuring T.I.,Just Like Me,75,49,2,2009-01-03
50,Sugarland,Already Gone,42,41,13,2009-01-03
