rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,Flo Rida Featuring T-Pain,Low,2,1,9,2008-01-05
2,Alicia Keys,No One,1,1,16,2008-01-05
3,Timbaland Featuring OneRepublic,Apologize,3,2,21,2008-01-05
4,Chris Brown Featuring T-Pain,Kiss Kiss,4,1,15,2008-01-05
5,Fergie,Clumsy,5,5,11,2008-01-05
6,Finger Eleven,Paralyzer,7,6,29,2008-01-05
7,Colbie Caillat,Bubbly,6,5,26,2008-01-05
8,Jordin Sparks,Tattoo,8,8,13,2008-01-05
9,Sara Bareilles,Love Song,16,9,8,2008-01-05
10,Rihanna Featuring Ne-Yo,Hate That I Love You,9,7,17,2008-01-05
11,Soulja Boy Tell'em,Crank That (Soulja Boy),11,1,24,2008-01-05
12,"Wyclef Jean Featuring Akon, Lil Wayne & Niia",Sweetest Girl (Dollar Bill),23,12,15,2008-01-05
13,Baby Bash Featuring T-Pain,Cyclone,12,7,22,2008-01-05
14,Kanye West Featuring T-Pain,Good Life,10,7,15,2008-01-05
15,Sean Kingston,Take You There,18,15,8,2008-01-05
16,Chris Brown,With You,25,16,4,2008-01-05
17,Plies Featuring Akon,Hypnotized,14,14,13,2008-01-05
18,Natasha Bedingfield Featuring Sean Kingston,Love Like This,19,18,10,2008-01-05
19,Alicia Keys,Like You'll Never See Me Again,13,13,7,2008-01-05
20,Kanye West,Stronger,17,1,22,2008-01-05
21,Britney Spears,Piece Of Me,45,21,8,2008-01-05
22,Mary J. Blige,Just Fine,26,22,10,2008-01-05
23,Taylor Swift,Teardrops On My Guitar,24,23,29,2008-01-05
24,Trey Songz,Can't Help But Wait,15,14,14,2008-01-05
25,Timbaland Featuring Keri Hilson,The Way I Are,20,3,30,2008-01-05
26,Taylor Swift,Our Song,21,21,13,2008-01-05
27,Snoop Dogg,Sensual Seduction,37,27,4,2008-01-05
28,Linkin Park,Shadow Of The Day,29,28,7,2008-01-05
29,Playaz Circle Featuring Lil Wayne,Duffle Bag Boy,22,15,14,2008-01-05
30,matchbox twenty,How Far We've Come,27,11,17,2008-01-05
31,Paramore,Misery Business,35,31,23,2008-01-05
32,Good Charlotte,I Don't Wanna Be In Love (Dance Floor Anthem),34,26,16,2008-01-05
33,Santana Featuring Chad Kroeger,Into The Night,30,30,12,2008-01-05
34,Rihanna,Don't Stop The Music,47,34,5,2008-01-05
35,J. Holiday,Suffocate,41,35,7,2008-01-05
36,Kanye West Featuring Dwele,Flashing Lights,39,36,5,2008-01-05
37,Daughtry,Over You,31,18,20,2008-01-05
38,"DJ Khaled Featuring T-Pain, Trick Daddy, Rick Ross & Plies",I'm So Hood,28,19,15,2008-01-05
39,Fergie,Big Girls Don't Cry,36,1,36,2008-01-05
40,Maroon 5,Wake Up Call,42,19,20,2008-01-05
41,Bow Wow & Omarion,Girlfriend,33,33,8,2008-01-05
42,Birdman Featuring Lil Wayne,Pop Bottles,46,42,8,2008-01-05
43,Justin Timberlake Duet With Beyonce,Until The End Of Time,38,17,25,2008-01-05
44,Sugarland,Stay,40,32,11,2008-01-05
45,Nickelback,Rockstar,49,6,46,2008-01-05
46,J. Holiday,Bed,43,5,23,2008-01-05
47,Jack Johnson,If I Had Eyes,63,47,2,2008-01-05
48,Buckcherry,Sorry,59,48,3,2008-01-05
49,P!nk,Who Knew,44,9,29,2008-01-05
50,The-Dream,Shawty Is A 10,32,17,16,2008-01-05
51,Keyshia Cole Introducing Amina,Shoulda Let You Go,50,41,13,2008-01-05
52,"DJ Felli Fel Featuring Diddy, Akon, Ludacris & Lil Jon",Get Buck In Here,51,41,7,2008-01-05
53,Billy Ray Cyrus With Miley Cyrus,"Ready, Set, Don't Go",58,53,14,2008-01-05
54,Kenny Chesney,Don't Blink,48,29,16,2008-01-05
55,Foo Fighters,The Pretender,60,37,20,2008-01-05
56,Seether,Fake It,61,56,12,2008-01-05
