rank,artist,song,rank_last_week,peak_position,weeks_on_chart,date
1,Bruno Mars,Locked Out Of Heaven,1,1,12,2013-01-05
2,Rihanna,Diamonds,2,1,13,2013-01-05
3,The Lumineers,Ho Hey,3,3,29,2013-01-05
4,Taylor Swift,I Knew You Were Trouble.,10,3,10,2013-01-05
5,Justin Bieber Featuring Nicki Minaj,Beauty And A Beat,7,5,11,2013-01-05
6,Ke$ha,Die Young,4,2,13,2013-01-05
7,Maroon 5,One More Night,5,1,27,2013-01-05
8,Flo Rida,I Cry,6,6,13,2013-01-05
9,Phillip Phillips,Home,8,7,26,2013-01-05
10,Macklemore & Ryan Lewis Featuring Wanz,Thrift Shop,13,10,12,2013-01-05
11,Swedish House Mafia Featuring John Martin,Don't You Worry Child,12,11,14,2013-01-05
12,will.i.am & Britney Spears,Scream & Shout,15,12,4,2013-01-05
13,P!nk,Try,14,13,9,2013-01-05
14,fun.,Some Nights,9,3,44,2013-01-05
15,Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),11,6,21,2013-01-05
16,Alicia Keys Featuring Nicki Minaj,Girl On Fire,16,11,16,2013-01-05
17,Ed Sheeran,The A Team,17,17,24,2013-01-05
18,Imagine Dragons,It's Time,19,18,29,2013-01-05
19,PSY,Gangnam Style,18,2,16,2013-01-05
20,Kendrick Lamar,Swimming Pools (Drank),21,17,19,2013-01-05
21,Mariah Carey,All I Want For Christmas Is You,25,21,4,2013-01-05
22,Florida Georgia Line Featuring Nelly,Cruise,20,16,19,2013-01-05
23,"Kanye West, Jay-Z, Big Sean",Clique,22,12,16,2013-01-05
24,"A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar",F**kin Problems,32,24,8,2013-01-05
25,Miguel,Adorn,23,17,21,2013-01-05
26,Calvin Harris Featuring Florence Welch,Sweet Nothing,33,26,7,2013-01-05
27,Pitbull Featuring TJR,Don't Stop The Party,30,27,10,2013-01-05
28,Alex Clare,Too Close,24,7,39,2013-01-05
29,Taylor Swift,We Are Never Ever Getting Back Together,27,1,20,2013-01-05
30,Kelly Clarkson,Catch My Breath,49,30,9,2013-01-05
31,Nicki Minaj,Va Va Voom,26,22,10,2013-01-05
