date,rank,artist,song,lyricId
1989-01-07,1,Poison,Every Rose Has Its Thorn,14512
1989-01-07,2,Bobby Brown,My Prerogative,14508
1989-01-07,3,Phil Collins,Two Hearts,14538
1989-01-07,4,Anita Baker,Giving You The Best That I Got,14475
1989-01-07,5,The Bangles,In Your Room,14498
1989-01-07,6,Taylor Dayne,Don't Rush Me,14520
1989-01-07,7,Boy Meets Girl,Waiting For A Star To Fall,14464
1989-01-07,8,Chicago,Look Away,14474
1989-01-07,9,Def Leppard,Armageddon It,14539
1989-01-07,10,Michael Jackson,Smooth Criminal,14531
1989-01-07,11,Boys Club,I Remember Holding You,14509
1989-01-07,12,Annie Lennox & Al Green,Put A Little Love In Your Heart,14527
1989-01-07,13,Kenny G,Silhouette,-1
1989-01-07,14,Guns N' Roses,Welcome To The Jungle,14505
1989-01-07,15,Karyn White,The Way You Love Me,14499
1989-01-07,16,Sheriff,When I'm With You,12364
1989-01-07,17,Bon Jovi,Born To Be My Baby,14544
1989-01-07,18,Tiffany,All This Time,14525
1989-01-07,19,White Lion,When The Children Cry,14526
1989-01-07,20,Eddie Money,Walk On Water,14482
1989-01-07,21,Will To Power,"Baby, I Love Your Way/Freebird Medley",14465
1989-01-07,22,Joan Jett & the Blackhearts,Little Liar,14513
1989-01-07,23,Steve Winwood,Holding On,14543
1989-01-07,24,Breathe,How Can I Fall?,14462
1989-01-07,25,Maxi Priest,Wild World,14519
1989-01-07,26,Samantha Fox,I Wanna Have Some Fun,14534
1989-01-07,27,Duran Duran,I Don't Want Your Love,14497
1989-01-07,28,Paula Abdul,Straight Up,14549
1989-01-07,29,When In Rome,The Promise,14456
1989-01-07,30,Sheena Easton,The Lover In Me,14530
1989-01-07,31,Tone-Loc,Wild Thing,14552
1989-01-07,32,Van Halen,Finish What Ya Started,14484
1989-01-07,33,Cheap Trick,Ghost Town,14521
1989-01-07,34,Information Society,Walking Away,14547
1989-01-07,35,Cheryl Pepsii Riley,Thanks For My Child,14516
1989-01-07,36,Robert Palmer,Early In The Morning,14507
1989-01-07,37,Was (Not Was),Spy In The House Of Love,14486
1989-01-07,38,The Art Of Noise Featuring Tom Jones,Kiss,14550
1989-01-07,39,Robbie Nevil,Back On Holiday,14532
1989-01-07,40,Rick Astley,She Wants To Dance With Me,14561
1989-01-07,41,Edie Brickell & New Bohemians,What I Am,14546
1989-01-07,42,U2,Angel Of Harlem,14562
1989-01-07,43,The Boys,Dial My Heart,14553
1989-01-07,44,The Beach Boys,"Kokomo (From""Cocktail"" )",14460
1989-01-07,45,New Kids On The Block,You Got It (The Right Stuff),14542
1989-01-07,46,The Escape Club,"Wild, Wild West",14447
1989-01-07,47,Erasure,A Little Respect,14555
1989-01-07,48,Tracy Chapman,Baby Can I Hold You,14522
1989-01-07,49,U2,Desire,14481
1989-01-07,50,The Escape Club,Shake For The Sheik,14554
1989-01-07,51,Bon Jovi,Bad Medicine,14473
1989-01-07,52,Fleetwood Mac,As Long As You Follow,14551
1989-01-07,53,Ann Wilson & Robin Zander,"Surrender To Me (From ""Tequila Sunrise"")",-1
1989-01-07,54,Rod Stewart,My Heart Can't Tell You No,14558
1989-01-07,55,Kylie Minogue,It's No Secret,14557
1989-01-07,56,Kylie Minogue,The Loco-Motion,14449
1989-01-07,57,Cinderella,Don't Know What You Got (Till It's Gone),14454
1989-01-07,58,Eighth Wonder,Cross My Heart,14541
1989-01-07,59,Ivan Neville,Not Just Another Girl,-1
1989-01-07,60,Phil Collins,Groovy Kind Of Love,14453
1989-01-07,61,Basia,New Day For You,14556
1989-01-07,62,Duran Duran,All She Wants Is,14567
1989-01-07,63,Traveling Wilburys,Handle With Care,14515
1989-01-07,64,Judson Spence,"Yeah, Yeah, Yeah",-1
1989-01-07,65,George Michael,Kissing A Fool,14491
1989-01-07,66,Alphaville,Forever Young,13147
1989-01-07,67,Michelle Shocked,Anchorage,14559
1989-01-07,68,Tommy Conwell And The Young Rumblers,If We Never Meet Again,-1
1989-01-07,69,UB40,Red Red Wine,12666
1989-01-07,70,Vixen,Edge Of A Broken Heart,14471
1989-01-07,71,Kon Kan,I Beg Your Pardon,14568
1989-01-07,72,The Georgia Satellites,"Hippy Hippy Shake (From ""Cocktail"")",-1
1989-01-07,73,Bobby McFerrin,"Don't Worry, Be Happy (From ""Cocktail"")",-1
1989-01-07,74,Siouxsie & The Banshees,Peek-A-Boo,14501
1989-01-07,75,Tracie Spencer,Symptoms Of True Love,14489
1989-01-07,76,Starship,"Wild Again (From ""Cocktail"")",14566
1989-01-07,77,Randy Newman,It's Money That Matters,14523
1989-01-07,78,Sir Mix-A-Lot,Posse On Broadway,14565
1989-01-07,79,Mike + The Mechanics,The Living Years,14571
1989-01-07,80,The Timelords,Doctorin' The Tardis,14563
1989-01-07,81,Giant Steps,Another Lover,14443
1989-01-07,82,D.J. Jazzy Jeff & The Fresh Prince,Girls Ain't Nothing But Trouble,14518
1989-01-07,83,Milli Vanilli,Girl You Know It's True,14572
1989-01-07,84,Martika,More Than You Know,14569
1989-01-07,85,Rod Stewart,Forever Young,14431
1989-01-07,86,Fairground Attraction,Perfect,14564
1989-01-07,87,Al B. Sure!,Killing Me Softly,14540
1989-01-07,88,Mike + The Mechanics,Nobody's Perfect,14529
1989-01-07,89,Pet Shop Boys,Domino Dancing,14493
1989-01-07,90,Bobby Brown,Don't Be Cruel,14416
1989-01-07,91,Camouflage,The Great Commandment,14570
1989-01-07,92,Bobby Brown,Roni,14573
1989-01-07,93,SaFire,"Boy, I've Been Told",14480
1989-01-07,94,Def Leppard,Love Bites,14434
1989-01-07,95,INXS,Never Tear Us Apart,14436
1989-01-07,96,Ratt,Way Cool Jr.,14574
1989-01-07,97,House Of Lords,I Wanna Be Loved,14575
1989-01-07,98,Vanessa Williams,Dreamin',14576
1989-01-07,99,Barbra Streisand & Don Johnson,Till I Loved You,14506
1989-01-07,100,J.J. Fad,Is It Love,14560
1989-01-14,1,Bobby Brown,My Prerogative,14508
1989-01-14,2,Phil Collins,Two Hearts,14538
1989-01-14,3,Poison,Every Rose Has Its Thorn,14512
1989-01-14,4,Taylor Dayne,Don't Rush Me,14520
1989-01-14,5,Def Leppard,Armageddon It,14539
1989-01-14,6,The Bangles,In Your Room,14498
1989-01-14,7,Michael Jackson,Smooth Criminal,14531
1989-01-14,8,Boys Club,I Remember Holding You,14509
1989-01-14,9,Annie Lennox & Al Green,Put A Little Love In Your Heart,14527
1989-01-14,10,Karyn White,The Way You Love Me,14499
1989-01-14,11,Boy Meets Girl,Waiting For A Star To Fall,14464
1989-01-14,12,Sheriff,When I'm With You,12364
1989-01-14,13,Bon Jovi,Born To Be My Baby,14544
1989-01-14,14,White Lion,When The Children Cry,14526
1989-01-14,15,Kenny G,Silhouette,-1
1989-01-14,16,Anita Baker,Giving You The Best That I Got,14475
1989-01-14,17,Tiffany,All This Time,14525
1989-01-14,18,Chicago,Look Away,14474
1989-01-14,19,Steve Winwood,Holding On,14543
1989-01-14,20,Joan Jett & the Blackhearts,Little Liar,14513
1989-01-14,21,Paula Abdul,Straight Up,14549
1989-01-14,22,Tone-Loc,Wild Thing,14552
1989-01-14,23,Samantha Fox,I Wanna Have Some Fun,14534
1989-01-14,24,Sheena Easton,The Lover In Me,14530
1989-01-14,25,Guns N' Roses,Welcome To The Jungle,14505
1989-01-14,26,Maxi Priest,Wild World,14519
1989-01-14,27,Eddie Money,Walk On Water,14482
1989-01-14,28,Information Society,Walking Away,14547
1989-01-14,29,Will To Power,"Baby, I Love Your Way/Freebird Medley",14465
1989-01-14,30,Rick Astley,She Wants To Dance With Me,14561
1989-01-14,31,The Art Of Noise Featuring Tom Jones,Kiss,14550
1989-01-14,32,Edie Brickell & New Bohemians,What I Am,14546
1989-01-14,33,U2,Angel Of Harlem,14562
1989-01-14,34,Breathe,How Can I Fall?,14462
1989-01-14,35,The Boys,Dial My Heart,14553
1989-01-14,36,When In Rome,The Promise,14456
1989-01-14,37,New Kids On The Block,You Got It (The Right Stuff),14542
1989-01-14,38,Robbie Nevil,Back On Holiday,14532
1989-01-14,39,Cheap Trick,Ghost Town,14521
1989-01-14,40,Duran Duran,I Don't Want Your Love,14497
1989-01-14,41,Van Halen,Finish What Ya Started,14484
1989-01-14,42,Erasure,A Little Respect,14555
1989-01-14,43,Cheryl Pepsii Riley,Thanks For My Child,14516
1989-01-14,44,Robert Palmer,Early In The Morning,14507
1989-01-14,45,The Escape Club,Shake For The Sheik,14554
1989-01-14,46,Ann Wilson & Robin Zander,"Surrender To Me (From ""Tequila Sunrise"")",-1
1989-01-14,47,Was (Not Was),Spy In The House Of Love,14486
1989-01-14,48,The Beach Boys,"Kokomo (From""Cocktail"" )",14460
1989-01-14,49,Fleetwood Mac,As Long As You Follow,14551
1989-01-14,50,Rod Stewart,My Heart Can't Tell You No,14558
1989-01-14,51,The Escape Club,"Wild, Wild West",14447
1989-01-14,52,Tracy Chapman,Baby Can I Hold You,14522
1989-01-14,53,Duran Duran,All She Wants Is,14567
1989-01-14,54,Kylie Minogue,It's No Secret,14557
1989-01-14,55,Mike + The Mechanics,The Living Years,14571
1989-01-14,56,Eighth Wonder,Cross My Heart,14541
1989-01-14,57,U2,Desire,14481
1989-01-14,58,Bon Jovi,Bad Medicine,14473
1989-01-14,59,Basia,New Day For You,14556
1989-01-14,60,Kon Kan,I Beg Your Pardon,14568
1989-01-14,61,Bobby Brown,Roni,14573
1989-01-14,62,Kylie Minogue,The Loco-Motion,14449
1989-01-14,63,Tommy Conwell And The Young Rumblers,If We Never Meet Again,-1
